,surname,frequency
463,BOBER,0.0008863457759340869
464,KAŁUŻA,0.0008857511790360989
465,SOŁTYS,0.0008851565821381109
466,CYGAN,0.0008829763935121551
467,RACZYŃSKA,0.0008803998069542071
468,BILSKA,0.0008802016079882112
469,JAKUBIAK,0.0008766340266002832
470,FILIPEK,0.0008758412307362992
471,PAKUŁA,0.0008756430317703032
472,MIERZEJEWSKA,0.0008742556390083313
473,CEBULA,0.0008700934607224155
474,SZWED,0.0008691024658924355
475,GĄSIOROWSKA,0.0008663276803684915
476,GÓRNIAK,0.0008655348845045076
477,WASIAK,0.0008639492927765396
478,BARTOSIK,0.0008619673031165796
479,STANEK,0.0008603817113886117
480,MAJCHER,0.0008601835124226157
481,KĘDZIORA,0.0008583997217286517
482,WIĘCEK,0.0008554267372387119
483,GUZIK,0.0008550303393067199
484,NOWACZYK,0.0008520573548167799
485,KRUPIŃSKA,0.0008510663599868
486,RUSIN,0.000850868161020804
487,STASZEWSKA,0.000848291574462856
488,STOLARCZYK,0.000847696977564868
489,URBAŃCZYK,0.000846507783768892
490,MATUSZAK,0.0008459131868709041
491,GÓRAL,0.0008451203910069201
492,CISZEWSKA,0.0008429402023809642
493,JAŚKIEWICZ,0.0008417510085849883
494,KULIG,0.0008413546106529963
495,WOLAK,0.0008403636158230163
496,CZAPLA,0.0008401654168570203
497,KOPCZYŃSKA,0.0008391744220270403
498,ZAGÓRSKA,0.0008363996365030964
499,DROZDOWSKA,0.0008362014375371004
