,surname,frequency
420,BUJAK,0.0009410829911121511
421,PIÓRKOWSKI,0.0009406788326448494
422,JĘDRZEJCZYK,0.0009386580403083405
423,KRYSIAK,0.0009384559610746897
424,KOŁODZIEJSKI,0.0009358289310372282
425,KUBACKI,0.0009350206141026247
426,DĄBEK,0.0009340102179343703
427,CZYŻEWSKI,0.0009323935840651633
428,GRUSZCZYŃSKI,0.0009319894255978616
429,PIWOWARCZYK,0.0009309790294296072
430,BURZYŃSKI,0.0009267353655229387
431,GUTOWSKI,0.0009245124939527789
432,SOŁTYS,0.0009202688300461104
433,BOROWIEC,0.0009184501169432525
434,ŁUKASZEWSKI,0.0009180459584759508
435,SZAFRAŃSKI,0.0009174397207749981
436,MASŁOWSKI,0.0009172376415413473
437,STELMACH,0.0009164293246067437
438,JAGODZIŃSKI,0.0009148126907375367
439,TARNOWSKI,0.0009144085322702348
440,JAGIEŁŁO,0.000914206453036584
441,ZIELONKA,0.0009115794229991225
442,ZAJĄCZKOWSKI,0.0009113773437654717
443,CEBULA,0.0009085482344943594
444,KAŁUŻNY,0.0009077399175597558
445,BOBER,0.0009051128875222944
446,CYGAN,0.0009043045705876909
447,KRAKOWIAK,0.0009039004121203892
448,BIELAWSKI,0.0009032941744194365
449,ŁUKASIEWICZ,0.0009016775405502294
450,DZIUBA,0.0009000609066810224
451,SKOCZYLAS,0.0008996567482137206
452,LISIECKI,0.000899050510512768
453,WILCZEK,0.0008984442728118153
454,WOŹNY,0.0008976359558772118
455,PILARSKI,0.0008968276389426082
456,KAŁUŻA,0.0008964234804753065
457,FALKOWSKI,0.000895615163540703
458,FILIPEK,0.000895615163540703
459,PAKUŁA,0.0008937964504378451
460,JURKIEWICZ,0.0008929881335032416
461,SZCZEŚNIAK,0.0008915735788676853
462,DRZEWIECKI,0.0008895527865311766
463,SKIBIŃSKI,0.0008895527865311766
464,JAKUBIAK,0.000888744469596573
465,JĘDRZEJCZAK,0.0008883403111292713
466,KĘDZIORA,0.000883894567988952
467,SOBIERAJ,0.0008828841718206975
468,GĄSIOROWSKI,0.0008810654587178396
469,DĘBOWSKI,0.0008796509040822835
470,STRZELCZYK,0.0008792467456149816
471,FLIS,0.0008745989232410114
472,RACZYŃSKI,0.0008725781309045026
473,TWARDOWSKI,0.00087197189320355
474,STANEK,0.0008705573385679938
475,KULIG,0.0008697490216333902
476,GOŁĄB,0.0008691427839324377
477,WASIAK,0.0008675261500632306
478,GUZIK,0.0008661115954276744
479,KUBICA,0.000863484565390213
480,MIERZEJEWSKI,0.0008630804069229112
481,WIĘCEK,0.0008622720899883077
482,GÓRAL,0.000861665852287355
483,GÓRNIAK,0.000861665852287355
484,RUSIN,0.0008596450599508463
485,MAJCHER,0.0008592409014835444
486,BARTOSIK,0.0008529764452403672
487,MATUSZAK,0.0008525722867730654
488,MOTYKA,0.0008521681283057636
489,WOLAK,0.0008501473359692549
490,GRZYWACZ,0.000849743177501953
491,ROMANIUK,0.0008489348605673496
492,BURY,0.0008479244643990951
493,BILSKI,0.0008459036720625864
494,SZWED,0.000844893275894332
495,DROZDOWSKI,0.0008446911966606811
496,FLOREK,0.0008440849589597284
497,WOJTAS,0.0008434787212587758
498,NOWACZYK,0.0008412558496886161
499,CHOLEWA,0.0008388308988848055
