,name,gender,frequency
91,NADIA,F,0.0013298531507916543
89,IVAN,M,0.001321959136875034
92,VIKTORIIA,F,0.001317247788886702
90,ALAN,M,0.0012951445499201652
93,KORNELIA,F,0.0012752967435012343
91,ZYGMUNT,M,0.0012729661298687082
94,GENOWEFA,F,0.0012316415935242422
95,ŁUCJA,F,0.001217983696430407
96,MARLENA,F,0.0012165552558169234
97,NINA,F,0.0011978602260334355
98,LILIANA,F,0.0011851295623202828
99,POLA,F,0.0011846534154491214
100,IGA,F,0.0011843777514710808
92,MAKSYM,M,0.0011823478621782355
101,BOGUSŁAWA,F,0.0011794408602279881
102,SABINA,F,0.001178162781784345
93,CEZARY,M,0.001171997932820889
103,HENRYKA,F,0.001158690880790015
104,KATERYNA,F,0.0011556836373932072
94,WŁODZIMIERZ,M,0.0011526012129114793
105,ANITA,F,0.0011502956596405934
106,MARCELINA,F,0.001143955388145657
95,IGNACY,M,0.0011234058916008043
107,JÓZEFA,F,0.0010959898559665738
96,GABRIEL,M,0.0010849382364833055
108,STEFANIA,F,0.001079324715475931
109,JAGODA,F,0.0010762673513558432
110,REGINA,F,0.0010600532973747217
97,ZENON,M,0.00104767347872453
98,JULIAN,M,0.0010449418993057629
99,MYKOLA,M,0.0010352184789894179
111,LIUDMYLA,F,0.0010144183788281644
100,NORBERT,M,0.0009910370614179844
101,TYMON,M,0.0009800606230196361
112,ANIELA,F,0.000978030733726791
113,CZESŁAWA,F,0.0009481587826518343
102,TYMOTEUSZ,M,0.0009458782897425885
103,VITALII,M,0.0009331726863910758
114,KARINA,F,0.0009303659258873886
115,WŁADYSŁAWA,F,0.0009168082702401139
104,YURII,M,0.0008933768321066537
105,IHOR,M,0.0008844302830011507
106,FABIAN,M,0.0008788418223554164
107,VASYL,M,0.000870145876866314
116,DIANA,F,0.0008695193678253124
108,MYKHAILO,M,0.0008666624865983451
117,WIOLETA,F,0.0008611241466758908
118,ADRIANNA,F,0.0008597959475089674
109,VLADYSLAV,M,0.0008341090768279015
110,BŁAŻEJ,M,0.0008273928999083643
111,ARTEM,M,0.0008131335541351677
119,SARA,F,0.0008051894194952673
120,ROKSANA,F,0.000803109409479142
121,DAGMARA,F,0.0007965686550910851
112,OLEH,M,0.0007964684136445249
122,HALYNA,F,0.0007790765226663202
123,MALWINA,F,0.0007622860803674771
113,ERYK,M,0.0007417365838226244
124,MARYNA,F,0.0007282039885369896
114,EMIL,M,0.0007275273587727079
125,SOFIIA,F,0.0007146713932513548
126,ELIZA,F,0.0007112882444299461
115,VIKTOR,M,0.0007110627011751856
127,KLARA,F,0.0007052988179979708
128,VALENTYNA,F,0.00068938548835653
129,ŻANETA,F,0.0006792861626155841
116,BOHDAN,M,0.0006787097742978626
130,CECYLIA,F,0.0006623704185085406
131,KAJA,F,0.0006541255595289594
132,RÓŻA,F,0.0006524465152990751
133,NADIIA,F,0.0006501910827514694
134,BLANKA,F,0.0006483115556284645
135,ZDZISŁAWA,F,0.0006375356001232369
117,OLEKSII,M,0.0006143547656061773
136,ANASTAZJA,F,0.000608791365322083
137,LEOKADIA,F,0.0005898206715605544
138,OLEKSANDRA,F,0.0005838312451285789
118,NATAN,M,0.0005802225530524097
119,LECH,M,0.0005770398871241216
139,BERNADETA,F,0.0005704239516511445
120,DENYS,M,0.000569421537185542
121,KSAWERY,M,0.0005486966181092088
140,JULITA,F,0.0005474686603888456
122,WACŁAW,M,0.0005421057429978719
123,BRONISŁAW,M,0.0005418300790198311
141,ROZALIA,F,0.0005304025541119617
142,BRONISŁAWA,F,0.0005260420511865906
143,EUGENIA,F,0.0005249143349127877
144,ALDONA,F,0.0005247138520196672
124,RUSLAN,M,0.0005222078158556607
145,LILIANNA,F,0.0005212304617516982
146,INNA,F,0.0005171706831660078
147,VIOLETTA,F,0.0005167947777414069
125,BORYS,M,0.0005157673029141642
148,DANIELA,F,0.0004872235510061309
126,OLAF,M,0.0004807579777029943
149,LIUBOV,F,0.00047714928562682504
127,REMIGIUSZ,M,0.00047421722331493754
128,YAROSLAV,M,0.00046948081496496534
129,BOLESŁAW,M,0.00046424319938219194
130,PAVLO,M,0.000460759809114223
131,KAJETAN,M,0.0004531665195372835
132,ALIAKSANDR,M,0.0004410373045034923
133,BERNARD,M,0.0004407115198021715
134,KUBA,M,0.00041903430698351585
135,VADYM,M,0.0004170294780523107
136,BRUNO,M,0.00040587761712248204
137,ANATOLII,M,0.00039948722490426564
138,EDMUND,M,0.00037665723545016704
139,ANDREI,M,0.0003763314507488462
140,TOBIASZ,M,0.0003762813300255661
141,ALBERT,M,0.0003743767425409212
142,LUCJAN,M,0.0003697906963607894
143,GRACJAN,M,0.00035768654168863835
144,YEVHEN,M,0.0003559573767354739
145,SEWERYN,M,0.0003464845600355296
146,ANTON,M,0.00034568262846304754
147,ROMUALD,M,0.0003450059986987658
148,DAVID,M,0.0003426252643429597
149,ILLIA,M,0.0003377635541847872
